Cetacean Species Code | Scientific Name | Standard Common Name, Other Common Names
89 | Stenella attenuata/plagidon | Unidentified spotted dolphin in Atlantic
4 | Stenella clymene | Clymene dolphin, short-snouted spinner dolphin
13 | Stenella coeruleoalba | Striped dolphin, streaker porpoise, euphrosyne dolphin
91 | Stenella frontalis | Atlantic spotted dolphin, spotter porpoise
102 | Stenella longirostris (Gray's) | Gray's spinner dolphin, pantropical spinner dolphin
101 | Stenella longirostris (southwestern) | Southwestern spinner dolphin
100 | Stenella longirostris (Tres Marias) | Tres Marias spinner dolphin
3 | Stenella longirostris (unid. subsp.) | Unidentified spinner dolphin, spinner porpoise
11 | Stenella longirostris (whitebelly) | Whitebelly spinner dolphin
88 | Stenella longirostris centroamericana | Central American spinner dolphin, Costa Rican spinner dolphin
10 | Stenella longirostris orientalis | Eastern spinner dolphin
103 | Stenella longirostris orientalis/centroamericana | Undetermined eastern or Central American spinner dolphin
15 | Steno bredanensis | Rough-toothed dolphin, Steno
64 | Tasmacetus shepherdi | Shepherd's beaked whale
18 | Tursiops truncatus | Bottlenose dolphin, black porpoise, common porpoise
49 | Ziphiid whale | Unidentified beaked whale
61 | Ziphius cavirostris | Cuvier's beaked whale, goose-beaked whale
77 | | Unidentified dolphin or porpoise
78 | | Unidentified small whale
79 | | Unidentified large whale
96 | | Unidentified cetacean
97 | | Unidentified object, possible marine mammal
98 | | Unidentified whale
177 | | Unidentified small delphinid (Delphinus, Lagenorhynchus, Lissodelphis or Stenella)
277 | | Unidentified medium delphinid (Feresa, Grampus, Steno or Tursiops)
377 | | Unidentified large delphinid (Pseudorca, Orca or Globicephala)
477 | | Unidentified porpoise (Phocoena or Phocoenoides)
111 | Resident Killer Whales
110 | Transient Killer Whale
```

This list captures all of the species codes, scientific names, and common names provided in the source document.
